년도,월,냉방도일
2008,1,
2008,2,
2008,3,
2008,4,
2008,5,
2008,6,1.6
2008,7,2.6
2008,8,3.1
2008,9,2.2
2008,10,
2008,11,
2008,12,
2009,1,
2009,2,
2009,3,
2009,4,
2009,5,1.8
2009,6,2.3
2009,7,2.1
2009,8,2.9
2009,9,2
2009,10,
2009,11,
2009,12,
2010,1,
2010,2,
2010,3,
2010,4,
2010,5,
2010,6,2.4
2010,7,2.7
2010,8,3.5
2010,9,2.2
2010,10,
2010,11,
2010,12,
2011,1,
2011,2,
2011,3,
2011,4,
2011,5,2.2
2011,6,2.5
2011,7,2.3
2011,8,2.7
2011,9,2.9
2011,10,
2011,11,
2011,12,
2012,1,
2012,2,
2012,3,
2012,4,
2012,5,
2012,6,2.9
2012,7,3.4
2012,8,4.5
2012,9,2
2012,10,
2012,11,
2012,12,
2013,1,
2013,2,
2013,3,
2013,4,
2013,5,2.5
2013,6,2.8
2013,7,2.2
2013,8,4.1
2013,9,2.1
2013,10,
2013,11,
2013,12,
2014,1,
2014,2,
2014,3,
2014,4,
2014,5,2.6
2014,6,2
2014,7,3.6
2014,8,2.6
2014,9,2.3
2014,10,
2014,11,
2014,12,
2015,1,
2015,2,
2015,3,
2015,4,
2015,5,2.3
2015,6,2.4
2015,7,3.2
2015,8,3.6
2015,9,2.8
2015,10,
2015,11,
2015,12,
2016,1,
2016,2,
2016,3,
2016,4,
2016,5,2
2016,6,2.1
2016,7,3.8
2016,8,6.2
2016,9,2
2016,10,
2016,11,
2016,12,
2017,1,
2017,2,
2017,3,
2017,4,
2017,5,
2017,6,2.7
2017,7,3.5
2017,8,3.8
2017,9,2.2
2017,10,
2017,11,
2017,12,
2018,1,
2018,2,
2018,3,
2018,4,
2018,5,
2018,6,2.3
2018,7,5.7
2018,8,5.9
2018,9,1.7
2018,10,
2018,11,
2018,12,
