연도,주택용,일반용,교육용,산업용,농사용,가로등,심야,합계
2017,15085547,3115221,20972,413877,1784191,1830973,826242,23077023
2016,14728391,3088632,20663,405771,1710781,1751669,846812,22552719
2015,14419050,3016678,20489,396862,1638132,1672745,866259,22030215
2014,14117408,2954628,20217,387533,1565503,1604510,882470,21532269
2013,13822791,2893935,19912,377411,1495113,1511494,897037,21017693
2012,13514464,2817597,34788,367888,1432599,1398414,910149,20475899
2011,13181372,2710906,34625,358220,1335748,1271913,922082,19814866
2010,12904238,2632860,34376,348096,1260276,1117657,931947,19229450
2009,12682652,2552298,33907,337683,1200032,985102,935737,18727411
2008,12553340,2503422,33703,329458,1195544,883533,920048,18419048
